imagename,image_url,score,500A,500B,1A,1B,3A,3B,10A,10B,gist_url
sci2319.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2319.png,1.73,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/41-sci2319.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci2319.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/6-sci2319.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/7-sci2319.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/30-sci2319.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio880.png
sci1939.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1939.png,1.72,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/41-sci1939.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci1939.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/1-sci1939.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/15-sci1939.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/9-sci1939.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci1939.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio750.png
sci826.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci826.png,1.71,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/39-sci826.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci826.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/1-sci826.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/23-sci826.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/33-sci826.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/7-sci826.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio352.png
sci943.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci943.png,1.71,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/39-sci943.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci943.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/18-sci943.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/8-sci943.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/30-sci943.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio398.png
sci1122.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1122.png,1.69,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci1122.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/48-sci1122.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/32-sci1122.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/10-sci1122.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio487.png
sci229.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci229.png,1.68,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci229.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/43-sci229.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/3-sci229.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/15-sci229.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/8-sci229.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/30-sci229.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio81.png
sci947.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci947.png,1.66,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/41-sci947.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/46-sci947.png,none,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci947.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio402.png
sci1242.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1242.png,1.63,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/39-sci1242.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci1242.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/33-sci1242.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci1242.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio522.png
sci1117.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1117.png,1.62,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/37-sci1117.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/48-sci1117.png,none,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/25-sci1117.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio482.png
sci70.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci70.png,1.62,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci70.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci70.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/6-sci70.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/15-sci70.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/10-sci70.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/25-sci70.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio30.png
