filename,imagename,imageID,url,isTarget,hit,miss,fa,cr,name,HR,FAR,imagename,score,group,index,count,responseCount,Feature congestion,Entropy,Number of edges,fileindex,0
2008 Meyer-Spradow 10.1109/TVCG.2008.136 c 6.png,bio102.png,I763,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio102.png,1,44,21,15,218,I763,0.6769,0.0644,bio102.png,1.977898599,1,763,139,64,4.175,5.0411,6.2238,17,17
2010 Saad 10.1109/TVCG.2010.152 c 6.png,bio356.png,I819,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio356.png,1,28,44,3,248,I819,0.3889,0.012,bio356.png,1.97494208,1,819,150,61,1.9399,1.4879,2.4564,73,73
2010 Zeng 10.1109/TVCG.2010.200 c 3.png,bio381.png,I824,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio381.png,1,46,15,25,224,I824,0.7541,0.1004,bio381.png,1.96672439,2,824,134,67,5.427,4.5639,7.2013,78,78
2010 Zeng 10.1109/TVCG.2010.200 c 2.png,bio380.png,I823,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio380.png,1,37,18,15,217,I823,0.6727,0.0647,bio380.png,1.963853168,2,823,114,82,3.8759,4.385,5.0567,77,77
2017 Klein 10.1109/TVCG.2017.2744258 c 10.png,bio833.png,I913,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio833.png,1,33,22,10,218,I913,0.6,0.0439,bio833.png,1.96046576,2,913,109,72,3.7732,6.9868,22.2585,167,167
2010 Yu 10.1109/TVCG.2010.157 c 3.png,bio370.png,I822,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio370.png,1,39,22,13,226,I822,0.6393,0.0544,bio370.png,1.960198555,2,822,108,64,3.7435,7.3097,9.1305,76,76
2017 Usher 10.1109/TVCG.2017.2744079 c 3.png,bio889.png,I925,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio889.png,1,41,15,21,210,I925,0.7321,0.0909,bio889.png,1.954409942,2,925,116,76,1.6826,3.7238,3.4226,179,179
2009 Banks 10.1109/TVCG.2009.137 c 1.png,bio149.png,I771,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio149.png,1,42,24,13,221,I771,0.6364,0.0556,bio149.png,1.941675134,2,771,92,72,1.8418,6.485,5.7953,25,25
2013 Kretschmer 10.1109/TVCG.2013.169 c 6.png,bio619.png,I870,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio619.png,1,32,23,9,206,I870,0.5818,0.0419,bio619.png,1.935551287,2,870,78,64,3.5863,2.5842,6.9428,124,124
2009 Jeong 10.1109/TVCG.2009.178 c 1.png,bio223.png,I785,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio223.png,1,36,28,9,224,I785,0.5625,0.0386,bio223.png,1.924479265,2,785,96,61,5.9899,5.8336,11.162,39,39
